"ID_REF"	"GSM3581926"	"GSM3581927"	"GSM3581928"	"GSM3581929"	"GSM3581930"	"GSM3581931"	"GSM3581932"	"GSM3581933"	"GSM3581934"	"GSM3581935"	"GSM3581936"	"GSM3581937"
"ASHGV40054007"	10.583544	11.143615	10.457425	11.918168	11.610243	13.136713	12.757465	12.351797	13.402231	12.790058	11.511039	13.053606
"ASHGV40054014"	9.931937	9.877533	9.754396	9.496759	10.06952	8.744953	9.947525	10.105969	9.281385	10.4722	10.634569	10.092263
"ASHGV40054016"	10.352969	12.028022	11.32363	6.7330594	9.683915	7.719867	8.993356	10.4192295	9.277951	9.3203335	9.026511	10.047664
"ASHGV40054022"	3.184073	3.9930744	4.3042674	2.7088218	3.3077555	4.2012243	3.8247674	2.460818	3.6041396	4.5314083	4.0555906	4.6647873
"ASHGV40054024"	5.745391	6.062992	4.9655004	4.6041455	5.544751	5.4488406	4.4040017	7.1567	5.8176208	5.4733777	5.6604233	5.723582
"ASHGV40054027"	2.9606814	3.9818344	4.1175056	2.610084	4.0586057	2.5497591	4.2592688	5.6196113	4.2516384	3.8851995	3.1157978	5.421338
"ASHGV40054031"	6.413067	6.6886806	6.9032617	5.617449	5.7547174	6.676637	6.5002127	6.200796	6.7773547	5.934298	5.93992	6.4395237
"ASHGV40054033"	9.811733	11.685285	11.11296	11.833509	11.792812	13.512987	11.445047	11.678255	12.811893	11.516148	11.42907	11.964972
"ASHGV40054035"	8.998911	8.698488	8.948347	6.577668	7.516461	7.390887	6.4993253	7.0498357	7.161131	6.781315	7.3643556	7.1682577
"ASHGV40054037"	12.904785	12.193734	12.192781	12.1378145	11.673036	12.7656	12.530306	11.6967745	12.360257	11.968969	11.465015	11.592548
"ASHGV40054038"	9.830787	10.099492	9.352248	9.005436	8.813584	8.803328	8.828531	8.893678	8.719036	8.989844	8.806666	8.420097
"ASHGV40054044"	7.1291614	6.9032617	6.723732	6.3891892	6.4725747	6.354249	6.699702	6.8237605	6.871321	6.6390476	6.62772	6.352909
"ASHGV40054045"	13.556076	14.259559	14.0781	14.492872	14.5449915	14.162342	14.696656	15.029583	15.071779	15.178054	14.973007	14.871373
"ASHGV40054046"	9.773687	8.483607	11.474022	9.810054	11.20473	7.174575	9.276269	11.844259	9.072516	9.073304	11.903946	11.393354
"ASHGV40054047"	7.025111	7.024545	6.9614973	6.6720204	6.5585523	6.7423644	6.966181	6.5365925	6.765395	6.1384535	6.085752	6.161855
"ASHGV40054048"	5.1159534	6.2065387	5.0584726	5.455058	6.0495296	5.0379786	6.1840158	6.4552326	5.571203	5.7280254	6.289091	5.919856
"ASHGV40054049"	8.135331	8.719989	8.354776	7.001385	7.598728	8.07519	7.931825	7.55372	8.183714	7.3992567	7.540149	7.783884
"ASHGV40054055"	8.78141	8.810745	8.756368	8.825662	8.931571	9.342549	9.078779	8.910463	8.632329	9.063179	8.434091	9.132593
"ASHGV40054057"	6.174327	6.0237865	4.4407225	2.6262503	5.833509	5.0312	4.8503265	5.755402	6.2641172	5.437726	5.600124	6.054813
"ASHGV40054058"	10.852297	10.748487	10.451459	10.609396	10.070516	11.43858	11.211172	10.349002	10.965831	10.919988	9.974295	11.106436
"ASHGV40054059"	12.545829	11.404148	11.991819	12.947165	12.078674	12.095214	13.01922	13.173394	11.956184	12.48345	12.056965	12.498401
"ASHGV40054062"	10.433833	11.278689	10.456847	10.2233925	10.704665	9.010351	11.775083	11.849523	10.359044	10.904795	10.736032	10.581578
"ASHGV40054073"	6.7974715	7.5565834	7.053014	6.5131145	6.903099	6.4273524	6.602988	6.9840593	6.301366	7.1682577	6.848611	7.1015286
"ASHGV40054077"	10.178333	11.2657385	10.657345	10.387106	11.2685585	8.842521	10.626793	11.18077	9.853201	11.242846	11.53726	11.530506
"ASHGV40054079"	11.883923	11.192729	11.27261	10.108801	10.437746	7.1419597	9.561092	10.540966	7.42983	10.012288	11.073259	9.7645445
"ASHGV40054082"	11.955613	12.673195	11.636315	12.585931	11.617573	12.641115	12.2512245	11.717596	12.162023	12.619735	11.848103	11.937105
"ASHGV40054085"	4.627863	4.170265	5.531011	4.5833144	4.313774	5.8386083	5.4818983	3.721096	5.7969413	5.231122	5.2481575	5.483111
"ASHGV40054088"	7.8033676	8.649266	7	6.8961186	7.4529085	7.624491	8.353214	7.6731877	7.520261	8.055905	7.3603144	7.237766
"ASHGV40054089"	15.515058	15.136955	15.150439	14.322565	14.109523	14.492872	14.677323	14.3866825	14.65239	14.397447	13.854647	14.281758
"ASHGV40054095"	6.77246	6.7143135	6.862853	7.0679135	6.680902	7.1436844	6.8796134	6.7686334	6.8031416	6.5585523	6.7262173	5.812559
"ASHGV40054100"	4.4228773	4.971819	4.312968	4.8752885	4.779146	4.211841	4.436641	3.8090458	4.1435814	4.5262017	4.8442717	4.1930737
"ASHGV40054106"	6.544647	7.154351	6.289091	6.0503364	6.3128614	5.8718567	6.9427705	6.3307633	6.3341904	6.138275	6.4802785	6.3767133
"ASHGV40054109"	4.981644	5.010379	6.224438	5.97971	4.9779387	7.1041613	6.856799	3.9786816	6.7867274	6.363947	5.1252923	6.06105
"ASHGV40054114"	10.560241	10.856393	10.577831	10.949689	10.606301	11.8884945	11.222128	10.544721	11.781402	10.779854	10.371947	10.879125
"ASHGV40054116"	7.4571943	6.9134684	6.90629	8.833236	7.837799	6.8909707	7.6636767	7.139561	5.3607545	7.570496	5.734489	7.1198106
"ASHGV40054117"	5.0379786	4.77373	4.1234736	8.342614	4.593041	3.7960346	5.2950974	4.7448344	3.4663353	5.165799	4.1229873	6.252432
"ASHGV40054118"	2.3945029	3.740168	5.455173	2.3760185	5.9122653	2.5497591	2.4661245	4.9087515	3.158716	3.206743	5.5290294	5.3206654
"ASHGV40054119"	9.523031	9.600733	9.119366	9.393435	8.988338	9.9494095	10.092677	8.726702	10.001053	9.7000675	8.581836	9.588705
